,SAG Power,SAG Specific Energy,SAG Fresh Feed,SAG Feed F80,SAG Feed F80 Mixed,SAG Feed F80 diff,R/F ratio,SAG Feed Density,SAG Feed Water,SAG Total Feed Rate,SAG Main Bearing Pressure,SAG Microphone Sensor,SAG Charge Softsensor,SAG Screen Motor Currency,SAG Recycling load,Crusher Feed F80,Crusher Power,Crusher Feed Rate,Crusher Wasted,Crusher Product P80,Crusher Specific Energy
2400,12960.0,9.895071017749284,1308.743,55.78998239999999,47.20639529627069,8.5835871037293,0.2512257945219191,0.5955577199273052,1111.046,1637.533,6851.51,104.3781,24.65839,33.62397,328.78999999999996,34.83461,183.9542,209.6197,0.6684977,21.623160000000002,0.2573908845399549
2401,13075.0,10.885764001631825,1200.11,57.526681999999994,50.111286543383514,7.41539545661648,0.2125805134529336,0.6007977911640701,965.9327,1455.23,6905.7755,103.5239,23.74975,33.21066,255.12000000000012,35.08177,149.3248,193.7295,0.6744488000000001,22.64392,0.09975145757357558
2402,13116.0,12.061088918805588,1086.464,56.669177999999995,47.546523226538554,9.122654773461441,0.26811104647737993,0.60013505855986,916.9879,1377.757,6908.9105,102.5077,23.84055,33.46461,291.2930000000001,35.35318,178.7448,210.1443,0.7061875,22.643520000000002,0.23195870646979244
2403,12976.0,12.283342326224215,1055.39,54.713555799999995,46.26496829613167,8.448587503868325,0.2553766853959199,0.6020012304359323,874.934,1324.912,6851.130999999999,105.1624,24.9275,33.70523,269.52199999999993,35.455290000000005,180.7755,213.6644,0.7161059000000001,21.63071,0.23764136655427856
2404,12715.0,8.499144069682956,1495.033,54.8531034,48.70624702429631,6.146856375703692,0.1848527758250153,0.6102489372110489,1130.346,1771.394,6753.9619999999995,104.925,36.02427,34.315909999999995,276.3610000000001,35.58834,225.5216,240.2803,0.7161059000000001,21.60039,0.3975423703066793
2405,13074.0,9.505902471796393,1374.356,56.79625419999999,48.398593320425995,8.397660879573998,0.23702665102782686,0.5953921863213346,1154.339,1700.115,6930.0995,102.82600000000001,21.99674,33.711,325.759,35.618790000000004,197.5665,222.0206,0.7200732,21.367070000000002,0.3043253644031229
2406,13079.0,10.886230196449883,1200.4260000000002,58.400162599999994,48.10358594689785,10.296576653102143,0.28595515258749793,0.6024427965911525,1017.697,1543.694,6956.9905,101.7475,23.29638,35.17372,343.2679999999998,35.85559,306.4463,289.9614,0.7161059000000001,22.3925,0.6085165128875775
2407,13027.0,10.570088604719093,1231.44,57.9280274,47.39640850100549,10.531618898994509,0.29254125251737806,0.6026763790353086,1048.344,1591.6870000000001,6924.503000000001,102.464,26.025270000000003,34.79578,360.24700000000007,35.82821,301.019,271.8366,0.7260243000000001,21.927570000000003,0.6291242606771863
2408,13006.0,10.579849965590677,1228.318,57.686625799999995,48.63605290537564,9.050572894624352,0.2585845033615074,0.5983539617085543,1036.7160000000001,1545.942,6908.806,103.5056,24.74598,34.174609999999994,317.624,35.79537,232.6757,240.8189,0.7081712,22.68618,0.426360638637582
2409,12960.0,10.457811686765945,1238.265,57.727545199999994,49.06446278382673,8.663082416173268,0.24723221604422307,0.6023592733796815,1018.5210000000001,1544.404,6847.3015,103.5227,26.43054,34.105109999999996,306.1389999999999,35.86034,216.0732,232.3962,0.6932936,22.687279999999998,0.3703726653017563
2410,12800.91,8.02998862080949,1593.138,55.99615419999999,50.43683007316352,5.559324126836472,0.17004176662661985,0.6112393609137449,1184.566,1864.0379999999998,6784.2345000000005,103.5201,38.930009999999996,34.90435,270.89999999999986,35.981770000000004,249.3302,259.881,0.6915805,23.30228,0.4591724673985401
2411,12896.0,7.738169529277355,1665.5439999999999,55.269765,47.65919430567429,7.610570694325709,0.23269394263976237,0.6004849257695053,1364.974,2053.106,6879.768,102.2617,32.98949,35.35334,387.56200000000035,35.9657,306.4298,286.48400000000004,0.7220569,22.56341,0.6158452129961882
2412,13055.0,8.679984175900161,1503.035,55.3371004,46.637945393046195,8.699155006953802,0.27332497247236426,0.598795433284212,1281.318,1913.852,6957.2215,101.37700000000001,36.53068,36.59003,410.817,36.052279999999996,332.1071,338.6616,0.7280079,23.50995,0.5967818613034368
2413,13100.0,8.814752261724125,1485.145,57.3388236,48.18669934833164,9.152124251668354,0.31699935023179554,0.5911935827370572,1351.516,1955.935,6971.487999999999,99.91882,36.39772,37.53812,470.78999999999996,36.22335,332.7352,374.5065,0.7508201999999999,28.467709999999997,0.5413396029174394
2414,13058.0,9.065014998441494,1439.483,57.31997679999999,52.10060496407584,5.21937183592415,0.17126773987605276,0.584315035640715,1198.444,1686.02,6944.029,101.1688,43.44704,36.55318,246.53700000000003,36.6331,190.1378,345.3753,247.6417,26.84505,0.17412304817397192
2415,12975.0,9.091673498560047,1426.13,58.5832966,56.40824084639773,2.1750557536022654,0.0643195220632059,0.5911122361554637,1048.942,1517.858,6832.72,103.4314,37.96103,33.56791,91.72799999999984,36.85665,88.11169,213.9927,210.4657,24.76688,0.0
2416,12822.0,8.919354345037524,1436.5479999999998,59.076843999999994,56.73716822059408,2.3396757794059155,0.06624978768547957,0.5883652851502317,1070.628,1531.719,6766.4395,104.351,45.18716,33.866690000000006,95.17100000000028,36.94835,83.59441,224.7243,205.9638,23.76087,0.0
2417,12348.0,8.603840791319236,1434.1729999999998,58.7421228,53.85545871691154,4.886664083088455,0.13975580351882266,0.5924358737848068,1123.522,1634.6070000000002,6658.138999999999,105.9489,74.83105,33.64917,200.43400000000042,36.64351,143.4946,216.4891,107.2671,23.77639,0.062333854221759855
2418,12314.0,8.28800863665152,1484.761,59.0351372,51.320412576460996,7.714724623539006,0.1921400144535046,0.5927594021245722,1215.0639999999999,1770.043,6649.217500000001,105.8631,74.18235,33.998129999999996,285.2819999999999,36.22518,217.7414,227.9081,0.7736324,18.88356,0.384985878079805
2419,12506.0,7.457631161520388,1675.94,58.343571399999995,51.15273180740407,7.190839592595921,0.18787546093535565,0.594622848503204,1356.21,1990.808,6702.5365,104.1712,63.27794,34.67159,314.86799999999994,35.87645,274.6258,265.5087,0.7835506999999999,20.06907,0.5447120941799649
2420,12453.0,7.314060581072247,1701.611,56.649747,48.57990996370498,8.06983703629502,0.21831135318236658,0.5910608087052295,1433.317,2073.092,6734.9195,103.9786,53.90303,35.30085,371.481,35.602140000000006,348.2335,294.5972,0.7875181,19.68494,0.7407860631397719
2421,12848.0,7.822217459837163,1641.501,57.1567818,48.333422798981296,8.823359001018702,0.2308764965723444,0.589513324763128,1405.8929999999998,2020.485,6818.517,103.8035,39.87619,34.0733,378.9839999999999,35.55539,296.6555,251.8154,0.7974365,18.939989999999998,0.6618161558030208
2422,13280.0,11.241443001736158,1180.343,61.9654844,48.06453125710511,13.900953142894892,0.32364321218493247,0.5808899886041898,1126.232,1562.3529999999998,7018.746999999999,99.85961999999999,31.807270000000003,34.89373,382.00999999999976,35.72361,301.8009,288.3824,0.8053712,19.01401,0.595739892587065
2423,13226.0,13.340784106451911,990.3960000000001,63.53263899999999,48.17567868656981,15.356960313430179,0.3449327339771162,0.5928439696586812,913.8079,1332.016,6978.4735,102.009,33.91447,33.7888,341.62,35.9789,294.9838,242.8551,0.7974365,19.011029999999998,0.6793507733623876
2424,13346.0,13.569027317504158,982.5635,63.48973839999999,50.06010900363222,13.429629396367773,0.2998864704418595,0.5896954673746836,887.6783,1277.221,6980.473,101.6263,32.817029999999995,33.1884,294.6575,36.192209999999996,194.1808,212.9989,0.8073548,18.70736,0.30131986597113886
2425,13242.0,14.488897097537567,912.9412,60.64122999999999,48.63269928627386,12.008530713726131,0.29069539199238675,0.588678869366716,822.3209,1178.329,6966.3115,103.14,34.21331,32.76144,265.38779999999997,36.418009999999995,174.2165,191.6902,0.8093385000000001,19.33156,0.2306664607789026
