Time;FEEDER #1 P80;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;SAG MILL FEED DENSITY;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;SM Scrn/Disch PB Wtr Flow;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
20-03-2019 05:37;2.240725;1.953601;2.496274;1718.792;2.110197;24.67528;62;1111.345;2011.002;91.45;12566.67;7304.742;6530.979;10.49;104;78.73389;106.2058;50.04632;40.29356;375;34.00264;218.7228;242.6032;17.98401;0.7141222
20-03-2019 05:37;2.235092;1.97337;2.499971;1700.755;2.122209;24.7053;62;1114.112;2003.49;91.23;12572.5;7294.748;6525.262;10.48667;104;78.68384;106.9408;50.62392;40.29356;375;34.05024;225.388;241.2807;17.98401;0.7537957
20-03-2019 05:38;2.238868;1.970482;2.4931;1694.701;2.121746;24.71398;62;1112.398;2017.746;91.20333;12573.33;7309.091;6541.079;10.48333;104;78.77393;106.6133;50.74162;40.29356;375;34.18882;226.9902;240.6427;17.98401;0.7488365
20-03-2019 05:38;2.238672;1.95772;2.498286;1712.016;2.115181;24.60065;62;1120.195;1995.434;91.00667;12530;7330.553;6475.149;10.485;104;78.66507;106.0324;50.33932;40.29356;375;34.21135;226.1936;241.1809;17.98401;0.7587548
20-03-2019 05:38;2.234539;1.966344;2.501901;1712.337;2.11844;24.58406;62;1123.654;1994.919;91.55;12590;7319.156;6535.362;10.48333;104;78.63379;106.3417;50.20736;40.29356;375;34.32879;222.739;239.0756;17.98401;0.7463569
20-03-2019 05:38;2.228235;1.978074;2.502336;1693.179;2.124269;24.59698;62;1127.398;1979.126;91.32333;12600;7295.063;6526.209;10.49;104;78.73389;105.8686;50.16133;40.25548;375;34.26125;228.2994;242.59;17.98401;0.733959
20-03-2019 05:38;2.227864;1.991473;2.500537;1719.86;2.130852;24.50932;62;1147.921;1995.113;91.35333;12596.67;7294.081;6567.17;10.48333;104;78.72137;105.5138;49.74602;40.25548;375;34.30954;228.2948;245.6018;17.98401;0.7736324
20-03-2019 05:38;2.242809;1.993587;2.501604;1703.136;2.136006;24.37267;62;1171.893;1998.428;91.37;12590;7292.117;6476.271;10.48667;104;78.63379;106.5807;50.9987;40.25548;375;34.22905;229.6483;239.8062;17.98401;0.7587548
20-03-2019 05:39;2.256273;1.990076;2.501549;1714.229;2.138709;24.39385;62;1171.191;1981.643;91.225;12582.5;7339.25;6517.793;10.49333;104;78.80898;105.6072;50.55185;40.25548;375;34.14857;229.7337;244.2331;17.98401;0.7488365
20-03-2019 05:39;2.254923;1.979525;2.498714;1693.648;2.132929;24.48219;62;1152.911;2001.312;91.31;12576.67;7308.389;6535.889;10.4825;104;78.66507;105.9388;49.94852;40.25548;375;34.36903;226.5873;250.3924;17.98401;0.7537957
